user_id,month_index,previous_month_spend,spend_2_months_ago,spend_3_months_ago,avg_3_month_spend,purchase_count,avg_purchase_amount,online_purchase_ratio,electronics_spend,fashion_spend,food_spend,home_spend,other_spend,next_month_spend
U0163,24,10908.22,10953.22,9630.85,10497.43,18,672.93,0.759,2902.75,478.25,1409.83,1999.35,4118.04,10470.84
U0136,24,7976.77,8939.47,7689.94,8202.06,13,569.58,0.442,1561.23,1153.95,1369.46,1036.18,2855.96,6924.7
U0075,24,7233.37,7489.6,7514.0,7412.33,17,467.79,0.683,764.09,1454.61,285.22,1149.45,3580.01,6799.45
U0224,11,15939.75,15623.73,14574.77,15379.42,12,1523.65,0.815,6053.33,1476.46,1513.52,4544.88,2351.55,14146.81
U0076,14,5424.04,5409.88,5044.63,5292.85,5,1214.41,0.271,2094.89,1212.88,853.49,7.23,1255.54,4603.24
U0171,24,4890.5,4633.59,5022.7,4848.93,6,826.58,0.763,1661.07,1925.06,376.97,570.01,357.39,4027.92
U0008,19,8452.52,9138.91,8069.53,8553.66,6,1521.32,0.571,1383.44,2619.03,275.85,1625.6,2548.6,7192.75
U0036,18,10390.93,9449.53,9617.82,9819.42,7,1611.91,0.851,314.61,1020.85,3730.66,1063.97,4260.83,7512.74
U0126,4,5611.74,5091.39,5162.62,5288.58,12,439.12,0.397,2076.67,251.36,1139.68,214.48,1929.54,3638.17
U0140,12,9375.56,10351.6,11515.09,10414.09,9,1043.06,0.516,1505.76,2777.66,1313.86,2487.21,1291.08,8567.77
U0002,5,8498.55,8872.58,8049.77,8473.63,14,685.05,0.659,1799.63,682.15,1516.54,3574.51,925.72,7994.75
U0180,7,4049.66,3630.02,3233.31,3637.66,12,314.8,0.71,1186.98,1105.39,971.86,550.16,235.26,2891.94
U0212,20,12220.38,11264.27,9773.34,11085.99,11,1056.8,0.678,3264.99,1503.18,1717.42,1374.86,4359.93,10023.93
U0233,18,22684.55,20127.58,18295.07,20369.07,11,2238.83,0.56,4135.96,1366.17,8948.31,2601.58,5632.52,13790.57
U0083,14,4846.11,5140.65,5616.86,5201.21,7,770.53,0.821,381.38,99.83,187.51,3090.1,1087.29,5105.47
U0194,21,9010.1,8369.94,8004.21,8461.42,15,592.68,0.821,1592.87,1077.92,1017.89,932.97,4388.46,6830.18
U0084,15,3801.97,3415.31,3743.42,3653.57,14,262.1,0.815,425.37,1602.15,725.75,299.32,749.38,3608.14
U0130,17,14933.67,15923.38,14224.38,15027.15,13,1299.62,0.429,2581.54,959.87,4749.18,1989.68,4653.4,11836.73
U0151,16,15963.53,13802.95,14410.61,14725.69,8,1741.6,0.388,3237.88,5622.18,596.8,1924.52,4582.15,10948.13
U0055,19,8682.82,8716.11,9533.3,8977.41,8,1152.68,0.647,2998.24,1266.96,2656.34,804.99,956.29,7440.11
U0124,18,12169.59,11885.36,12238.1,12097.69,12,867.34,0.892,5853.73,1664.27,2252.3,1733.21,666.09,10688.34
U0050,11,18487.36,16086.61,15740.35,16771.44,13,1436.67,0.616,4933.28,1821.25,3800.42,3411.41,4521.0,16018.89
U0102,8,14891.76,15203.8,12098.07,14064.54,8,1614.2,0.451,2235.14,798.05,3130.16,2809.69,5918.72,12248.04
