user_id,purchase_amount,user_monthly_spend,category_average_purchase,purchase_count_last_30_days,days_since_last_purchase,amount_to_monthly_spend_ratio,amount_to_category_average_ratio,is_anomaly
U0078,1439.81,37533.17,3466.7,7,3,0.0384,0.4153,0
U0134,2102.21,9440.33,11943.07,4,7,0.2227,0.176,0
U0055,1519.2,63081.08,11710.13,9,7,0.0241,0.1297,0
U0146,561.97,62205.31,10439.07,11,2,0.009,0.0538,0
U0204,1082.46,26951.43,3416.79,13,9,0.0402,0.3168,0
U0002,868.42,19889.13,10442.05,15,14,0.0437,0.0832,0
U0043,1277.74,31409.45,2718.98,11,10,0.0407,0.4699,0
U0012,1004.67,87950.4,9911.46,13,0,0.0114,0.1014,0
U0165,81810.29,9468.64,489.6,10,45,8.6401,167.0977,1
U0011,700.79,35035.2,7713.55,10,8,0.02,0.0909,0
U0245,1015.39,74406.78,7728.84,14,6,0.0136,0.1314,0
U0153,3079.12,78642.13,8186.29,6,17,0.0392,0.3761,0
U0067,708.37,73129.99,4225.04,6,17,0.0097,0.1677,0
U0149,9109.57,62755.49,4798.89,12,15,0.1452,1.8983,0
U0247,907.48,25323.45,1619.38,9,1,0.0358,0.5604,0
U0033,531.95,20531.86,2741.57,7,16,0.0259,0.194,0
U0021,2370.08,60750.16,11685.11,8,3,0.039,0.2028,0
U0202,4490.88,81561.44,4893.22,10,11,0.0551,0.9178,0
U0171,825.43,19244.14,4888.04,10,1,0.0429,0.1689,0
U0053,2124.83,17210.88,11039.04,15,1,0.1235,0.1925,0
U0227,138667.11,83991.03,14750.91,7,31,1.651,9.4006,1
U0143,1641.3,21317.26,11290.49,13,3,0.077,0.1454,0
U0120,284.87,32070.63,2128.6,6,15,0.0089,0.1338,0
U0208,837.6,10827.5,11858.5,4,20,0.0774,0.0706,0
U0229,126861.19,59486.74,3846.04,11,15,2.1326,32.9849,1
U0174,1657.41,69901.84,1408.97,9,11,0.0237,1.1763,0
U0228,3612.08,16834.35,10346.78,18,11,0.2146,0.3491,0
U0109,996.18,11497.05,3305.52,6,15,0.0866,0.3014,0
U0051,1237.71,17688.45,4654.58,5,6,0.07,0.2659,0
U0243,1907.67,45440.0,5785.94,10,15,0.042,0.3297,0
U0101,1435.69,11153.31,3538.18,12,10,0.1287,0.4058,0
U0114,1601.53,81806.71,8354.59,13,20,0.0196,0.1917,0
U0012,991.87,15281.2,9112.44,11,3,0.0649,0.1088,0
U0192,95926.77,74410.24,6303.46,12,34,1.2892,15.2181,1
U0078,2358.3,73947.39,7560.13,7,19,0.0319,0.3119,0
U0139,744.57,83539.11,11633.38,5,16,0.0089,0.064,0
U0074,1009.95,65187.48,893.86,11,5,0.0155,1.1299,0
U0230,91383.2,31523.03,11826.54,8,41,2.8989,7.727,1
U0240,3068.44,29642.29,9204.63,12,13,0.1035,0.3334,0
U0068,2422.94,52283.17,4379.34,17,6,0.0463,0.5533,0
U0091,775.0,24861.41,2591.22,7,14,0.0312,0.2991,0
U0069,2182.66,21189.02,9263.25,5,19,0.103,0.2356,0
U0106,1145.61,58567.72,8674.08,9,3,0.0196,0.1321,0
U0189,772.52,26923.27,9191.9,12,4,0.0287,0.084,0
U0212,1209.77,24041.63,5800.3,8,3,0.0503,0.2086,0
U0167,1116.49,35571.85,3639.34,11,12,0.0314,0.3068,0
U0211,2210.71,57915.66,9977.89,13,15,0.0382,0.2216,0
U0182,1759.76,65843.32,4525.35,10,2,0.0267,0.3889,0
U0074,852.34,17159.88,1812.79,13,2,0.0497,0.4702,0
U0094,1012.06,8195.99,6159.34,9,12,0.1235,0.1643,0
U0151,595.82,63528.69,2683.94,6,9,0.0094,0.222,0
U0171,909.71,35145.28,4866.69,10,20,0.0259,0.1869,0
U0182,1045.3,27688.75,5545.3,10,3,0.0378,0.1885,0
U0105,2164.9,14681.36,8145.71,10,7,0.1475,0.2658,0
U0241,1145.73,20944.15,6913.74,14,4,0.0547,0.1657,0
U0076,2456.64,82659.06,6692.08,8,14,0.0297,0.3671,0
U0116,34790.66,94022.91,8970.92,11,41,0.37,3.8782,1
U0122,1568.54,20103.28,8654.63,10,13,0.078,0.1812,0
U0014,1245.84,70711.86,7898.47,14,5,0.0176,0.1577,0
U0228,1842.85,76187.13,8280.19,13,4,0.0242,0.2226,0
U0220,3721.31,88164.87,3994.43,9,16,0.0422,0.9316,0
U0048,564.51,64802.5,6168.91,8,4,0.0087,0.0915,0
U0117,1052.37,57223.61,2292.68,8,18,0.0184,0.459,0
U0219,206665.18,63262.91,10556.42,7,0,3.2668,19.5772,1
U0100,129228.14,18557.4,1648.78,7,26,6.9637,78.3781,1
U0214,733.59,33267.69,9936.32,12,14,0.0221,0.0738,0
U0158,679.99,50898.57,7608.81,9,1,0.0134,0.0894,0
U0010,1696.7,43980.45,4558.83,9,5,0.0386,0.3722,0
U0180,1340.97,36989.13,11845.01,7,11,0.0363,0.1132,0
U0048,396.67,59174.5,7976.28,11,14,0.0067,0.0497,0
U0154,746.48,60769.71,4004.51,9,6,0.0123,0.1864,0
U0066,417.24,8448.89,6528.88,10,11,0.0494,0.0639,0
U0085,1033.92,26076.08,1426.82,12,4,0.0397,0.7246,0
U0156,529.59,46539.58,10105.07,5,4,0.0114,0.0524,0
U0014,2264.18,15425.6,11160.79,11,17,0.1468,0.2029,0
U0166,2006.01,36322.95,6119.45,12,15,0.0552,0.3278,0
U0106,1121.8,12056.42,3255.15,5,6,0.093,0.3446,0
U0248,2203.05,32198.23,11608.7,10,14,0.0684,0.1898,0
U0187,1025.77,71138.49,11273.93,13,6,0.0144,0.091,0
U0013,5050.3,30540.94,6844.27,10,12,0.1654,0.7379,0
U0170,960.47,57351.91,6696.88,9,15,0.0167,0.1434,0
U0175,2550.43,30782.43,7923.28,9,1,0.0829,0.3219,0
U0053,1478.37,47234.54,7429.01,11,18,0.0313,0.199,0
U0050,1403.01,18358.69,4038.3,9,8,0.0764,0.3474,0
U0135,3537.34,25852.34,8218.9,7,7,0.1368,0.4304,0
U0204,767.49,73638.06,1260.19,11,7,0.0104,0.609,0
U0188,48535.77,38406.93,6300.98,14,8,1.2637,7.7029,1
U0112,3112.63,34184.0,3696.53,13,12,0.0911,0.842,0
U0155,2533.94,49833.35,6986.52,13,17,0.0508,0.3627,0
U0214,1448.47,72535.8,3882.24,5,12,0.02,0.3731,0
U0194,789.87,13077.47,9746.01,4,8,0.0604,0.081,0
U0118,2075.0,11845.26,10937.54,10,4,0.1752,0.1897,0
U0072,1584.95,32022.14,11241.27,15,7,0.0495,0.141,0
U0239,4283.52,31005.69,11961.16,10,7,0.1382,0.3581,0
U0046,2350.59,63107.67,11967.96,9,10,0.0372,0.1964,0
U0096,1137.52,23808.4,7489.0,10,3,0.0478,0.1519,0
U0026,84591.98,23458.19,14924.95,5,0,3.6061,5.6678,1
U0177,1803.24,28790.84,2780.39,14,3,0.0626,0.6486,0
U0055,1179.58,45573.83,2298.04,6,5,0.0259,0.5133,0
U0237,1275.24,29882.58,8361.78,6,3,0.0427,0.1525,0
U0113,707.29,21633.33,7720.26,8,13,0.0327,0.0916,0
U0036,1201.69,82204.39,736.03,12,7,0.0146,1.6327,0
U0202,1683.59,30175.83,8591.47,14,9,0.0558,0.196,0
U0204,79756.03,95952.99,2234.47,15,13,0.8312,35.6934,1
U0068,201902.84,9839.45,7903.98,8,2,20.5197,25.5444,1
U0073,1383.99,77207.98,10910.97,10,11,0.0179,0.1268,0
U0004,883.31,21353.67,4858.21,8,5,0.0414,0.1818,0
U0184,1494.81,87254.26,2632.59,4,3,0.0171,0.5678,0
U0127,800.47,39181.49,3840.61,7,1,0.0204,0.2084,0
U0150,868.51,64327.66,9236.01,8,12,0.0135,0.094,0
U0052,1611.78,11339.02,1543.89,6,10,0.1421,1.044,0
U0179,2572.31,64807.65,537.01,12,0,0.0397,4.7901,0
U0071,1571.25,82826.98,6694.49,7,12,0.019,0.2347,0
U0238,1683.29,44508.33,7146.91,11,7,0.0378,0.2355,0
U0058,1835.55,11772.93,10744.57,8,14,0.1559,0.1708,0
U0039,1812.92,39106.47,831.53,13,15,0.0464,2.1802,0
U0177,3328.72,29309.3,4097.21,11,15,0.1136,0.8124,0
U0012,3240.63,48432.66,2589.89,8,7,0.0669,1.2513,0
U0129,2207.23,19960.81,7713.44,11,16,0.1106,0.2862,0
U0056,647.81,24053.88,4284.33,13,11,0.0269,0.1512,0
U0222,610.07,77864.73,9001.79,11,17,0.0078,0.0678,0
U0180,1818.17,18297.17,5310.94,11,19,0.0994,0.3423,0
U0193,971.79,61207.12,3653.37,14,4,0.0159,0.266,0
U0243,867.03,60138.58,5912.12,6,2,0.0144,0.1467,0
U0066,1877.7,18733.8,9929.02,9,12,0.1002,0.1891,0
U0195,646.49,21797.1,10629.83,10,7,0.0297,0.0608,0
U0008,2154.02,36437.13,8099.79,17,3,0.0591,0.2659,0
U0190,70106.81,57126.73,9622.23,8,16,1.2272,7.2859,1
U0237,137344.64,67060.52,2689.26,4,12,2.0481,51.0715,1
U0230,1588.56,14852.17,6109.92,9,1,0.107,0.26,0
U0036,506.2,52681.16,8005.81,9,0,0.0096,0.0632,0
U0226,1897.07,40681.27,10066.19,10,15,0.0466,0.1885,0
U0115,1004.91,14850.9,720.51,9,8,0.0677,1.3947,0
U0157,151203.68,61852.23,12039.55,5,6,2.4446,12.5589,1
U0026,279.85,61877.63,11263.05,8,1,0.0045,0.0248,0
U0165,972.55,20363.06,4419.6,9,18,0.0478,0.2201,0
U0068,1392.21,84345.72,5934.78,9,20,0.0165,0.2346,0
U0125,1065.88,12335.72,7686.51,7,0,0.0864,0.1387,0
U0139,2363.67,15858.73,4707.37,16,5,0.149,0.5021,0
U0064,1304.08,64817.23,9101.39,10,7,0.0201,0.1433,0
U0185,306.25,75991.98,1271.69,5,15,0.004,0.2408,0
U0245,614.02,33864.47,1943.49,25,18,0.0181,0.3159,0
U0197,1652.48,69722.59,1683.16,6,7,0.0237,0.9818,0
U0206,1442.93,9413.12,7186.21,13,9,0.1533,0.2008,0
U0062,927.83,61608.93,3431.03,7,0,0.0151,0.2704,0
U0135,830.35,51165.18,7561.81,7,4,0.0162,0.1098,0
