user_id,monthly_spend,purchase_count_per_month,average_purchase_amount,online_purchase_ratio,electronics_spend_ratio,fashion_spend_ratio,food_spend_ratio,home_spend_ratio,other_spend_ratio
U0001,29585.26,43,688.03,0.432,0.103,0.165,0.506,0.118,0.107
U0002,16300.09,22,740.91,0.721,0.16,0.173,0.308,0.15,0.209
U0003,18221.55,21,867.69,0.918,0.149,0.555,0.1,0.105,0.092
U0004,32485.12,50,649.7,0.432,0.041,0.09,0.531,0.097,0.241
U0005,17413.98,7,2487.71,0.694,0.454,0.108,0.136,0.174,0.128
U0006,34714.68,30,1157.16,0.762,0.094,0.154,0.504,0.116,0.133
U0007,35947.74,19,1891.99,0.834,0.075,0.482,0.183,0.141,0.12
U0008,83194.99,14,5942.5,0.655,0.494,0.055,0.201,0.129,0.12
U0009,18262.78,54,338.2,0.747,0.091,0.147,0.559,0.102,0.1
U0010,15417.51,12,1284.79,0.697,0.187,0.165,0.392,0.087,0.169
U0011,58979.88,13,4536.91,0.763,0.566,0.112,0.129,0.058,0.134
U0012,7514.9,18,417.49,0.487,0.142,0.072,0.371,0.161,0.254
U0013,72618.3,4,18154.57,0.819,0.468,0.035,0.19,0.186,0.12
U0014,11923.69,21,567.79,0.713,0.195,0.054,0.252,0.082,0.418
U0015,74903.42,10,7490.34,0.777,0.51,0.106,0.184,0.079,0.12
U0016,136284.12,12,11357.01,0.698,0.222,0.275,0.099,0.217,0.187
U0017,38470.88,14,2747.92,0.663,0.124,0.384,0.179,0.173,0.14
U0018,71666.02,7,10238.0,0.892,0.485,0.13,0.144,0.121,0.12
U0019,17469.34,32,545.92,0.469,0.112,0.145,0.511,0.096,0.136
U0020,42468.74,15,2831.25,0.686,0.145,0.346,0.21,0.179,0.12
U0021,87359.03,5,17471.81,0.857,0.519,0.147,0.135,0.089,0.11
U0022,34721.61,33,1052.17,0.602,0.094,0.154,0.622,0.037,0.094
U0023,32434.41,20,1621.72,0.808,0.08,0.426,0.222,0.151,0.12
U0024,64964.82,6,10827.47,0.825,0.395,0.125,0.1,0.104,0.276
U0025,15977.14,47,339.94,0.722,0.1,0.056,0.528,0.099,0.217
U0026,170538.11,13,13118.32,0.525,0.326,0.134,0.145,0.291,0.104
U0027,15291.61,33,463.38,0.372,0.086,0.056,0.42,0.123,0.315
U0028,29894.3,42,711.77,0.55,0.044,0.095,0.658,0.087,0.116
U0029,121582.6,10,12158.26,0.88,0.331,0.164,0.154,0.23,0.12
U0030,29102.11,10,2910.21,0.747,0.158,0.474,0.171,0.077,0.12
U0031,74710.29,14,5336.45,0.79,0.435,0.042,0.233,0.096,0.194
U0032,23076.9,16,1442.31,0.869,0.061,0.508,0.203,0.109,0.12
U0033,11534.6,15,768.97,0.643,0.121,0.394,0.208,0.157,0.12
U0034,183365.64,7,26195.09,0.591,0.278,0.207,0.198,0.143,0.174
U0035,33188.99,4,8297.25,0.699,0.542,0.069,0.167,0.103,0.12
U0036,33280.83,17,1957.7,0.642,0.071,0.454,0.179,0.05,0.247
U0037,29244.92,4,7311.23,0.608,0.424,0.137,0.167,0.152,0.12
U0038,15470.81,23,672.64,0.632,0.145,0.147,0.436,0.078,0.194
U0039,96704.11,5,19340.82,0.693,0.205,0.293,0.076,0.281,0.144
U0040,65874.99,9,7319.44,0.764,0.572,0.065,0.17,0.073,0.12
U0041,144188.01,7,20598.29,0.637,0.297,0.217,0.158,0.181,0.146
U0042,19235.95,13,1479.69,0.767,0.053,0.456,0.196,0.106,0.19
U0043,47075.65,19,2477.67,0.613,0.139,0.489,0.155,0.097,0.12
U0044,31532.68,24,1313.86,0.873,0.061,0.546,0.167,0.1,0.126
U0045,47103.03,14,3364.5,0.75,0.116,0.441,0.184,0.139,0.12
U0046,5631.73,34,165.64,0.584,0.171,0.109,0.367,0.189,0.164
U0047,6408.48,18,356.03,0.456,0.083,0.157,0.282,0.054,0.425
U0048,18104.09,20,905.2,0.623,0.124,0.155,0.508,0.094,0.12
U0049,36577.01,24,1524.04,0.659,0.157,0.464,0.132,0.127,0.12
U0050,30752.6,20,1537.63,0.84,0.088,0.44,0.211,0.141,0.12
U0051,18866.59,11,1715.14,0.919,0.12,0.437,0.184,0.139,0.12
U0052,23817.38,11,2165.22,0.618,0.111,0.585,0.131,0.053,0.12
U0053,23739.51,21,1130.45,0.552,0.1,0.143,0.581,0.091,0.085
U0054,49730.23,19,2617.38,0.734,0.08,0.517,0.104,0.18,0.12
